Nome Instância;Número Vértices;Número Arestas;Modo;Porcentagem de mudança de vértices;Tempo A*;NVA A*;Tempo AD*;NVA AD*;Ganho em relação ao A*
USA-road-d.BAY.gr;321270;800172;Normal;0%;1238633329;1591980;148300000;106581;800%
USA-road-d.BAY.gr;321270;800172;Diminui;2%;1248599995;1573329;199800000;118749;600%
USA-road-d.BAY.gr;321270;800172;Diminui;20%;1078899995;1350961;275900000;257416;300%
USA-road-d.BAY.gr;321270;800172;Diminui;50%;223599995;177938;10800000;4887;2.000%
USA-road-d.BAY.gr;321270;800172;Diminui;70%;140199995;44969;4500000;5670;3.100%
USA-road-d.BAY.gr;321270;800172;Aumenta;2%;172633328;112561;13900000;15388;1.200%
USA-road-d.BAY.gr;321270;800172;Aumenta;20%;1035999995;1329812;213700000;169195;400%
USA-road-d.BAY.gr;321270;800172;Aumenta;50%;1364833329;1742031;165300000;124424;800%
USA-road-d.BAY.gr;321270;800172;Aumenta;70%;1358966661;1756298;227600000;122366;500%
USA-road-d.COL.gr;435666;1057066;Normal;0%;2393133328;2595777;362000000;177983;600%
USA-road-d.COL.gr;435666;1057066;Diminui;2%;2408266662;2580674;279300000;207273;800%
USA-road-d.COL.gr;435666;1057066;Diminui;20%;2108899994;2323321;962400000;752105;200%
USA-road-d.COL.gr;435666;1057066;Diminui;50%;413566660;349176;3100000;2858;13.300%
USA-road-d.COL.gr;435666;1057066;Diminui;70%;188266660;20794;9500000;3682;1.900%
USA-road-d.COL.gr;435666;1057066;Aumenta;2%;309799993;230532;625600000;512411;0%
USA-road-d.COL.gr;435666;1057066;Aumenta;20%;2194799995;2500123;520900000;379449;400%
USA-road-d.COL.gr;435666;1057066;Aumenta;50%;2506366661;2748988;251000000;189233;900%
USA-road-d.COL.gr;435666;1057066;Aumenta;70%;2528133328;2756270;329300000;183643;700%
USA-road-d.FLA.gr;1070376;2712798;Normal;0%;5970399996;5999935;1130900000;407767;500%
USA-road-d.FLA.gr;1070376;2712798;Diminui;2%;5885366661;5919297;898500000;453850;600%
USA-road-d.FLA.gr;1070376;2712798;Diminui;20%;5396366662;5532391;4405600000;2598656;100%
USA-road-d.FLA.gr;1070376;2712798;Diminui;50%;1202133329;766740;25000000;18739;4.800%
USA-road-d.FLA.gr;1070376;2712798;Diminui;70%;552966662;99583;14000000;16163;3.900%
USA-road-d.FLA.gr;1070376;2712798;Aumenta;2%;661233329;327988;51500000;38827;1.200%
USA-road-d.FLA.gr;1070376;2712798;Aumenta;20%;4870366662;5181622;3001600000;1574949;100%
USA-road-d.FLA.gr;1070376;2712798;Aumenta;50%;5791899995;6000935;1641100000;420677;300%
USA-road-d.FLA.gr;1070376;2712798;Aumenta;70%;5881499994;6118269;1451000000;413480;400%
USA-road-d.NY.gr;264346;733846;Normal;0%;1359866662;2087605;157800000;139458;800%
USA-road-d.NY.gr;264346;733846;Diminui;2%;1385299996;2114495;198100000;181197;600%
USA-road-d.NY.gr;264346;733846;Diminui;20%;1350633328;1993419;859800000;781839;100%
USA-road-d.NY.gr;264346;733846;Diminui;50%;183033328;151199;9500000;4845;1.900%
USA-road-d.NY.gr;264346;733846;Diminui;70%;105533329;27898;1600000;5096;6.500%
USA-road-d.NY.gr;264346;733846;Aumenta;2%;139399995;79134;59300000;58691;200%
USA-road-d.NY.gr;264346;733846;Aumenta;20%;1252799994;1832418;625600000;559774;200%
USA-road-d.NY.gr;264346;733846;Aumenta;50%;1386799995;2112880;168400000;153857;800%
USA-road-d.NY.gr;264346;733846;Aumenta;70%;1378066662;2095219;273000000;143918;500%
